element,kev,reliable,tilt_pct_10264,tilt_sig_10264,baseline_pct_10264,baseline_sig_10264,n_px_10264,tilt_pct_19511,tilt_sig_19511,baseline_pct_19511,baseline_sig_19511,n_px_19511,tilt_pct_sum,tilt_sig_sum,baseline_pct_sum,baseline_sig_sum,n_px_sum,tilt_rel_pct_10264,per_deg_10264,per_deg_sig_10264,tilt_rel_pct_19511,per_deg_19511,per_deg_sig_19511,tilt_rel_pct_sum,per_deg_sum,per_deg_sig_sum
K,3.3138,False,7.038784298897793,3.0377864537394696,-10.322521795281725,2.1284441243073937,3355,-8.754137579451394,2.6751024172151943,-5.392880611177631,2.149743111979256,3374,4.3341020261386864,2.0663949615325015,-1.4621902812947174,1.5872418802681114,3582,6.136928606593761,0.7970037151420469,0.3945177212648662,-6.898513069977741,-0.8959107883087976,0.3474158983396356,4.731982880531032,0.6145432312377964,0.268362982017208
Ca,3.69,True,4.587207426952022,0.1957100584839174,-1.891798570373393,0.07210455394905835,3600,-3.423553565894888,0.3070508466562293,-0.6332952896895949,0.20929758764233528,3600,3.416282257576908,0.19142554182499943,-1.7127114443901137,0.07278844838241702,3600,3.6853517346479903,0.47861710839584287,0.025416890712197063,-1.5679290564212356,-0.20362715018457606,0.039876733331977825,3.814163111969254,0.4953458586973057,0.024860459977272653
Ti,4.51,True,5.017869515213569,0.24199221541332822,-1.7061704234175856,0.14918048928286912,3600,-1.621218023677029,0.421439877196543,-0.7003530607572972,0.2925180108362736,3600,3.092268797904274,0.22356493186428322,-1.4224775221576502,0.13682701464499386,3600,4.116013822909537,0.5345472497285112,0.03142756044328938,0.23440648579662327,0.030442400752808216,0.054732451583966626,3.49014965229662,0.45326618860995066,0.029034406735621198
Fe,6.4,True,1.3468719714791577,0.3639249509985116,-0.6913260619545336,0.17369737613484687,3600,-1.7849014211961167,0.38612128146691826,-0.24598912819998597,0.20990056800742354,3600,-0.07030905684073385,0.35570813682542923,-0.49227349210519966,0.15397045746382299,3600,0.44501627917512554,0.05779432197079552,0.04726298064915735,0.0707230882775356,0.009184816659420206,0.050145620969729646,0.32757179755161236,0.04254179188981979,0.046195861925380416
Cu,8.04,True,0.45683941312890664,0.46269849698741555,-0.33050460237790125,0.20229612130549346,2546,-1.938374161388412,0.5149302596486298,-1.3739232870641493,0.2455402533594889,2475,-0.7254526519439586,0.45456425427428115,-0.8306120914793214,0.17866744398716475,2577,-0.44501627917512554,-0.05779432197079552,0.06009071389446955,-0.08274965191475969,-0.010746708040877882,0.06687405969462724,-0.32757179755161236,-0.04254179188981979,0.05903431873691963
Zn,8.64,False,-3.4796650181215916,2.0229509520421898,-0.3764949346061197,0.6185952612319735,2907,-1.38802200710626,1.3356435649265646,-1.4172180579079874,0.5359378519604547,3288,-1.6493457299723735,1.447978720881852,-0.6496314427878902,0.4631463260008762,3355,-4.381520710425624,-0.5690286636916395,0.26272090286262206,0.4676025023673924,0.060727597710050964,0.17346020323721617,-1.2514648755800273,-0.16252790591948407,0.18804918453011063
PbLl,9.185,True,2.155260350135535,0.5176825988333156,-0.18754451338671707,0.3942326139523912,3434,-1.4417233328650858,0.4934233166009311,0.38437294192699145,0.3777952356603102,3446,0.23483142544244995,0.38642244607604204,0.13605312337165998,0.27214691406205205,3481,1.2534046578315028,0.16277982569240296,0.06723150634198903,0.4139011766085665,0.05375339955955409,0.06408095020791313,0.6327122798347962,0.08217042595257093,0.05018473325662883
PbLa,10.54,True,-0.0518574011230899,0.1163107320565799,0.03160577288148225,0.043815001297692446,3600,-1.926347597751188,0.11325111252912531,-0.27342719481315836,0.042390298563283045,3600,-1.1129049904195498,0.10869823749468374,-0.13816329283313777,0.03914497104631404,3600,-0.9537130934271221,-0.12385884330222365,0.015105289877477907,-0.0707230882775356,-0.009184816659420206,0.014707936692094196,-0.7150241360272036,-0.09286027740613034,0.014116654220088797
PbLb,12.61,True,-0.5114117511733518,0.11992098917436966,0.1994944273122412,0.049795677751831975,3600,-2.0173192228046477,0.11161019358659392,0.05648584135289347,0.048540709759948196,3600,-1.3969560162904626,0.11287966690953194,0.11660985092032394,0.041558733812025815,3600,-1.413267443477384,-0.18354122642563428,0.015574154438229825,-0.1616947133309954,-0.02099931341960979,0.014494830335921288,-0.9990751618981164,-0.1297500210257294,0.014659697001237914
PbLg,14.77,True,-1.2620467973410876,0.24245433754762438,0.37177533788994577,0.1791829187873323,3600,-0.8520131915316087,0.21387109460088383,1.737497361315543,0.1527792564268126,3600,-1.0114887434182984,0.1802599566090287,1.1974556630545585,0.11788162701166759,3600,-2.1639024896451198,-0.2810262973565091,0.031487576304886286,1.0036113179420436,0.1303391322002654,0.027775466831283614,-0.6136078890259522,-0.07968933623713664,0.02341038397519853
