element,candidate,r,ssim,bias_pct,cv_ratio,n_px
Ca,warp_only,0.968817311064573,0.9180430589215558,5.2760002203675604,0.9356296275506595,3466
Ca,warp_gain,0.9688173110645729,0.9169341957818788,1.4081287799061037,0.9356296275506594,3466
Ca,noise_floor,0.9892085396327511,0.9725215958925938,-2.3129238744839076,1.0023804545200137,3466
Ti,warp_only,0.9347055232355092,0.8538299995275196,4.47993187160598,0.9173060770530616,3466
Ti,warp_gain,0.9347055232355092,0.8525515994990052,0.9564023461506199,0.9173060770530616,3466
Ti,noise_floor,0.9309785227798671,0.839510173699288,-2.330857754583149,1.0166280268249577,3466
Fe,warp_only,0.9827576094963671,0.9307541456195445,0.6012076595330207,0.9748173914265416,3466
Fe,warp_gain,0.9827576094963669,0.930740904865332,0.2727424346854024,0.9748173914265417,3466
Fe,noise_floor,0.9937756479596912,0.9313325921037389,-1.2343142055352474,1.0039811324070431,3466
Cu,warp_only,0.9626213608939332,0.906825696242791,-0.3962529348339183,0.9666037825951188,3466
Cu,warp_gain,0.962621360893933,0.9069987328381364,-0.06890685671148145,0.9666037825951188,3466
Cu,noise_floor,0.9873480045212119,0.9581212916339769,-1.216851819868614,1.0021248260972713,3466
PbLl,warp_only,0.9374089682686977,0.785798100115049,0.04344721251219319,0.9530336277541098,3466
PbLl,warp_gain,0.9374089682686978,0.7855288220878391,-0.5855601563078183,0.9530336277541098,3466
PbLl,noise_floor,0.9141666770650707,0.7352666532374351,-1.009167402208233,0.9932207437847624,3466
PbLa,warp_only,0.9793824406003152,0.9330389654356954,-0.9604152092325791,0.9620881783620117,3466
PbLa,warp_gain,0.9793824406003154,0.9335687890897587,-0.24715831481046946,0.9620881783620114,3466
PbLa,noise_floor,0.9932083266064289,0.9828188053723471,-0.1395430851371171,0.993562748409622,3466
PbLb,warp_only,0.978653887946304,0.9284060499644443,-1.3445150062627809,0.9628342695425458,3466
PbLb,warp_gain,0.9786538879463039,0.9291607781941206,-0.3489258761264713,0.962834269542546,3466
PbLb,noise_floor,0.9921331520182161,0.9787524737101965,0.20602832423590733,0.994288276590408,3466
PbLg,warp_only,0.9568113604940764,0.8589788970236049,-1.453205117767098,0.9564743495374989,3466
PbLg,warp_gain,0.956811360494076,0.8593770468910124,-0.8447808708094029,0.9564743495374989,3466
PbLg,noise_floor,0.9474993203773868,0.8452679856315529,1.0098888642530834,0.9880701815378506,3466
