subset,n_px,line,alpha,w_share_10264,snr_det10264,r_det10264,cv_ratio_det10264,r_vs_sum_det10264,snr_det19511,r_det19511,cv_ratio_det19511,r_vs_sum_det19511,snr_sum,r_sum,cv_ratio_sum,r_vs_sum_sum,snr_weighted,r_weighted,cv_ratio_weighted,r_vs_sum_weighted,snr_learned,r_learned,cv_ratio_learned,r_vs_sum_learned,snr_gain_pct,snr_gain_learned_pct,bias_learned_pct
all_px,3600,Ca,6.032690509867789,0.8853573691303852,19.862529447569205,0.9912313004281461,1.023850975818077,0.9990129143625968,7.059247296505754,0.9145410033137569,0.9047963106576145,0.9528824214600272,19.697799217429466,0.9906579308248894,1.0,1.0,19.97749637731013,0.9909964684478967,1.0044642339694176,0.9999615153243108,21.225515373780773,0.9917848092831636,0.9899483254478174,0.9994386306442948,1.4199411659814976,7.755770781740523,1.0940570987210574
heldout_px,563,Ca,6.032690509867789,0.8853573691303852,25.082766504059503,0.9863452349244702,1.0032408162258588,0.9981120537813076,6.933340338937813,0.8495926782395258,1.0586978250679824,0.9369166341734275,24.044047953098925,0.9851207250193351,1.0,1.0,24.73148792482751,0.9859369290545706,1.0003319780119218,0.9999288503242129,26.64168295932163,0.9873819536902118,0.9814655557954592,0.9986494483920273,2.859085845567799,10.80365091306479,1.194440069724112
all_px,3600,Ti,2.539555399967894,0.7881054220956804,9.906867389183928,0.9608629625643854,1.0766788229186006,0.9931524799047003,5.045394719755014,0.7949036800113105,0.8836569932219768,0.9321260121776901,10.481913771220569,0.9595034328119459,1.0,1.0,10.728394453348097,0.9626253644297044,1.0178184109404371,0.9995223138476672,11.862164476948623,0.9681602597777742,0.998436359471141,0.9963427348100885,2.3514854968972543,13.167926543316044,-7.214795218083236
heldout_px,563,Ti,2.539555399967894,0.7881054220956804,9.496856752987929,0.9430888942492264,1.045549775277179,0.9909409526360315,4.625844591261852,0.7497096342462426,0.9738135764212701,0.9374348834436039,9.865166332388853,0.9419672181316855,1.0,1.0,10.201538786619883,0.9466799436464937,1.0095184971985594,0.9994083543394692,11.22955280322826,0.9524612413954795,0.9719488644927426,0.9943403221986755,3.4096987612532104,13.83034431320147,-7.68106115973467
all_px,3600,Fe,1.2375144607884827,0.5875303693586365,8.011635907222553,0.9899771679236962,0.9994469321791312,0.9975908593171807,6.995570910902611,0.9870912353261255,1.0073040746021096,0.9963795119027108,9.313906653056515,0.992589192314938,1.0,0.9999999999999998,9.332594667895712,0.9926151149958018,0.9997861821746694,0.9999857309322393,10.330750892214601,0.9940600535380224,1.007352949848635,0.9995998601263644,0.20064636178271922,10.917483683652684,-4.009539835466736
heldout_px,563,Fe,1.2375144607884827,0.5875303693586365,8.675399458885087,0.9941818012300767,0.9817639304757311,0.9992540498914124,7.5532839503131015,0.9929411894413287,1.0234575179228735,0.9990365437094088,10.637216337503855,0.996265279760381,1.0,0.9999999999999998,10.661753480610793,0.9962717761388957,0.9985682034462174,0.9999958694641616,12.127635990146675,0.9971984549485418,1.0128947929837986,0.9997241701229274,0.23067259636739834,14.011369190527944,-4.466444215698273
all_px,3600,Cu,1.0772724468500072,0.592375963573365,7.122353147749987,0.9765020515593477,0.9780212017166421,0.9937966674141888,5.964568018433692,0.9703051929409426,1.0368419519093257,0.9935977919981597,8.122112933689197,0.9826685529901888,1.0,0.9999999999999999,8.214171783495523,0.9829093233308096,0.9958418877854943,0.9998599322090068,9.042080227606908,0.9856599248332375,0.988400112455039,0.9990328829963389,1.1334347423868074,11.326699116701967,0.8126176690684161
heldout_px,563,Cu,1.0772724468500072,0.592375963573365,9.075413499073097,0.9644150341472533,0.9530737745077364,0.9888818679419158,7.824440710407062,0.9623844041101335,1.0751195264612607,0.9893118364457191,10.891454385486256,0.9774063526552141,1.0,1.0,10.95657778075059,0.9772866541981141,0.9913327425106864,0.9997547593007892,12.371832858612592,0.9816378336457309,0.9779069029694711,0.9984333205931761,0.5979311206693927,13.592110114320999,1.0258786437890688
all_px,3600,PbLl,0.8596862032658857,0.4874130002548069,3.9475982755115178,0.8275400662574353,1.0309009267510345,0.9684122806107087,3.9625090329331396,0.8270286469093425,1.025375990654139,0.9766419964608749,5.508837752393535,0.9020539376314278,1.0,0.9999999999999998,5.521429019105923,0.902477658704331,0.999994369694349,0.9999280118646514,8.096493455467424,0.9516398387123146,0.980692212065719,0.9904089583409008,0.22856484939890453,46.97280659517662,-0.9273295129342718
heldout_px,563,PbLl,0.8596862032658857,0.4874130002548069,3.92936987152685,0.7617115551916228,1.0359823608254946,0.9595514119378193,3.599455087337155,0.724995064918735,1.040765941873448,0.966074373972621,5.400197024653804,0.8574196279677351,1.0,1.0,5.42965454125116,0.8587902678665622,0.9998130246407819,0.9999002543214685,8.846843410759929,0.9387159103690272,0.9517791137567118,0.985609985937821,0.5454896638561912,63.82445622578157,-1.2781816657027933
