tag,config,loss_weights,fusion_weights,mean_gain_pct,min_gain_pct,mean_cv_ratio,min_cv_ratio,gain_Ca,cv_Ca,gain_Ti,cv_Ti
nolossequal,neither,none,1 : 1,-0.08608704241946175,-38.24984572166961,0.9995357431039904,0.9357644687604834,-38.24984572166961,0.9357644687604834,-25.83858952769479,1.0254745294790542
noloss,fusion only,none,R : 1,7.102979157450021,-18.425017200796788,1.0100385426110112,0.8197432269945685,11.044391561020262,0.8197432269945685,-18.425017200796788,1.21531237637426
equalfuse,ratio loss only,"1/R, R",1 : 1,3.796604696382601,-27.879723201550664,0.9494407377832065,0.5394674306358059,-27.879723201550664,0.5394674306358059,-23.946173311577624,1.0234878936248604
lr1e4,"ratio, lr 1e-4","1/R, R",R : 1,4.364097740628752,-26.571011777900665,0.9588007333990776,0.3396142054334187,-18.748026555144946,0.3396142054334187,-26.571011777900665,1.2938453928156892
lr3e4,"ratio, lr 3e-4","1/R, R",R : 1,5.375247191432886,-22.62551135150428,0.9968263421765233,0.7543612021621615,5.273382112326708,0.7543612021621615,-22.62551135150428,1.3164865402036783
poissonequal,full loss only,"1/(Ra), R/b",1 : 1,14.389475263544934,-39.91928932324716,0.9658978885865914,0.8427738829427813,-39.91928932324716,0.8427738829427813,-5.883266019610511,1.0087311734006439
main,SELECTED,"1/(Ra), R/b",R : 1,17.70776983106427,-9.396857014716641,0.9674620166846352,0.6869075207312703,-9.396857014716641,0.6869075207312703,-3.6833305179721387,1.157740775111596
