subset,n_px,line,alpha,w_share_10264,snr_det10264,r_det10264,cv_ratio_det10264,r_vs_sum_det10264,snr_det19511,r_det19511,cv_ratio_det19511,r_vs_sum_det19511,snr_sum,r_sum,cv_ratio_sum,r_vs_sum_sum,snr_weighted,r_weighted,cv_ratio_weighted,r_vs_sum_weighted,snr_learned,r_learned,cv_ratio_learned,r_vs_sum_learned,snr_gain_pct,snr_gain_learned_pct
all_px,3600,Ca,6.032690509867789,0.8853573691303852,19.862529447569205,0.9912313004281466,1.023850975818077,0.999012914362596,7.059247296505754,0.9145410033137569,0.9047963106576145,0.9528824214600269,19.697799217429466,0.9906579308248897,1.0,1.0,19.97749637731013,0.9909964684478975,1.0044642339694176,0.999961515324311,17.122305740849587,0.9770134079744026,0.730928309860886,0.9766282969959033,1.4199411659814976,-13.075031622319367
heldout_px,563,Ca,6.032690509867789,0.8853573691303852,25.082766504059503,0.9863452349244702,1.0032408162258588,0.9981120537813073,6.933340338937813,0.8495926782395259,1.0586978250679824,0.9369166341734271,24.044047953098925,0.9851207250193351,1.0,0.9999999999999998,24.73148792482751,0.9859369290545702,1.0003319780119218,0.9999288503242131,21.784663146396316,0.9616983479175988,0.6869075207312703,0.9467423833928569,2.859085845567799,-9.396857014716641
all_px,3600,Ti,2.539555399967894,0.7881054220956804,9.906867389183928,0.9608629625643854,1.0766788229186006,0.993152479904701,5.045394719755014,0.7949036800113104,0.8836569932219768,0.9321260121776896,10.481913771220569,0.9595034328119459,1.0,1.0,10.728394453348097,0.9626253644297045,1.0178184109404371,0.9995223138476674,10.179647231381786,0.9676743710073538,1.1544513220603974,0.9946682794825676,2.3514854968972543,-2.883696111569767
heldout_px,563,Ti,2.539555399967894,0.7881054220956804,9.496856752987929,0.9430888942492269,1.045549775277179,0.9909409526360317,4.625844591261852,0.7497096342462429,0.9738135764212701,0.9374348834436038,9.865166332388853,0.941967218131685,1.0,0.9999999999999999,10.201538786619883,0.9466799436464937,1.0095184971985594,0.9994083543394692,9.501799650219262,0.9532197393760076,1.157740775111596,0.9919825895837453,3.4096987612532104,-3.6833305179721387
all_px,3600,Fe,1.2375144607884827,0.5875303693586365,8.011635907222553,0.9899771679236965,0.9994469321791312,0.9975908593171804,6.995570910902611,0.9870912353261252,1.0073040746021096,0.9963795119027106,9.313906653056515,0.9925891923149376,1.0,1.0,9.332594667895712,0.9926151149958019,0.9997861821746694,0.999985730932239,11.040850060126992,0.9946753742637595,0.9961544646446399,0.9993681181874893,0.20064636178271922,18.54155803143842
heldout_px,563,Fe,1.2375144607884827,0.5875303693586365,8.675399458885087,0.994181801230077,0.9817639304757311,0.9992540498914124,7.5532839503131015,0.9929411894413293,1.0234575179228735,0.9990365437094086,10.637216337503855,0.996265279760381,1.0,0.9999999999999998,10.661753480610793,0.9962717761388957,0.9985682034462174,0.9999958694641622,13.667340291056865,0.9976879809644258,0.9894153165771921,0.999526876913031,0.23067259636739834,28.48606117814525
all_px,3600,Cu,1.0772724468500072,0.592375963573365,7.122353147749987,0.9765020515593474,0.9780212017166421,0.9937966674141888,5.964568018433692,0.9703051929409445,1.0368419519093257,0.9935977919981608,8.122112933689197,0.982668552990189,1.0,1.0,8.214171783495523,0.9829093233308097,0.9958418877854943,0.9998599322090072,9.330741798182778,0.9865459003822454,0.9887853673658991,0.9982114596021823,1.1334347423868074,14.880719762962013
heldout_px,563,Cu,1.0772724468500072,0.592375963573365,9.075413499073097,0.9644150341472534,0.9530737745077364,0.9888818679419155,7.824440710407062,0.9623844041101332,1.0751195264612607,0.989311836445719,10.891454385486256,0.9774063526552143,1.0,1.0,10.95657778075059,0.9772866541981142,0.9913327425106864,0.9997547593007889,12.75287792096501,0.9826611269976289,0.9764933599791641,0.9970718575717242,0.5979311206693927,17.0906792573015
all_px,3600,PbLl,0.8596862032658857,0.4874130002548069,3.9475982755115178,0.8275400662574344,1.0309009267510345,0.968412280610709,3.9625090329331396,0.827028646909342,1.025375990654139,0.9766419964608758,5.508837752393535,0.9020539376314284,1.0,1.0,5.521429019105923,0.9024776587043315,0.999994369694349,0.9999280118646516,8.352149656029615,0.9530390467167161,0.9651792450471911,0.9838463654159758,0.22856484939890453,51.61364395603574
heldout_px,563,PbLl,0.8596862032658857,0.4874130002548069,3.92936987152685,0.7617115551916227,1.0359823608254946,0.959551411937818,3.599455087337155,0.7249950649187352,1.040765941873448,0.9660743739726211,5.400197024653804,0.8574196279677346,1.0,0.9999999999999999,5.42965454125116,0.8587902678665619,0.9998130246407819,0.9999002543214683,9.105844109224089,0.9372259950348897,0.9131499048040126,0.9794990798427027,0.5454896638561912,68.62059046462008
all_px,3600,PbLa,0.7994951361034033,0.5029209092230145,31.79271398816803,0.9901864881627636,1.0093245115434983,0.9865711751204632,32.28135746696136,0.9905716485817031,1.0120061932248572,0.9914784779237542,34.95206032897899,0.9917385623079407,1.0,1.0,34.95603755696335,0.9917326266585909,0.9997050547133254,0.9998485916776652,35.10421881989543,0.9914979347646848,0.9820583245198112,0.9988244540550424,0.011379094528130018,0.4353348257135181
heldout_px,563,PbLa,0.7994951361034033,0.5029209092230145,37.19874300900236,0.9906593303671277,1.0702805868921306,0.9848351429500036,37.886420480148004,0.9889677372774629,0.9675301355908554,0.9872800285759887,42.82904570746216,0.9919000631377913,1.0,0.9999999999999998,42.822448883104855,0.9919941226943321,1.0060010945230151,0.9998035896966737,43.06678406190093,0.9919167128536717,0.9954932733550002,0.998092611352326,-0.015402688171861634,0.5550867419802374
all_px,3600,PbLb,0.7270198861462318,0.4704288837971078,28.50492113304816,0.9876534402085562,1.0096909904068394,0.9881606597716942,29.6846912223809,0.9885782648225656,1.0079559810750973,0.9937390332183419,32.82780012039252,0.9905010413793528,1.0,1.0,32.840336435360314,0.9905058854948864,0.9998942487464423,0.9999124355137051,34.016941472214825,0.9907498621371105,0.9771657433813377,0.9989482584264083,0.038188105574610276,3.6223607657572376
heldout_px,563,PbLb,0.7270198861462318,0.4704288837971078,30.430237805245394,0.9835591204868164,1.0644259250676587,0.9833444852461174,33.34925516095545,0.9836682021268522,0.9758679773678356,0.9889589575242039,37.652238529985055,0.9877754843791867,1.0,1.0,37.552440133950924,0.987813865572973,1.0041876654961936,0.9998605631174259,40.165767220634386,0.9889373609452875,0.9857903598916331,0.9981766979969087,-0.26505302189312463,6.675642109957525
all_px,3600,PbLg,0.650190982851234,0.41302447115686636,8.462295201491331,0.8650243722094688,1.0355572431962605,0.9681329098137738,9.690755175320755,0.8909866171853061,1.012463994651343,0.9860481877413685,12.64902088506123,0.9329398189990344,1.0,1.0,12.674118679364685,0.9332073932753602,1.0001132993238486,0.999966915897666,16.19457729393415,0.9603903009870511,1.0232578618029882,0.9923846103588749,0.19841689354072045,28.03028345901697
heldout_px,563,PbLg,0.650190982851234,0.41302447115686636,7.990127384777039,0.8180492606593572,1.0961693649168835,0.9570810254512858,8.903818629877625,0.8201671286354569,0.9900199647547959,0.9773767355685726,11.3941624953076,0.8882420664808125,1.0,1.0,11.418445125875618,0.8890236528144815,1.0016041428152644,0.9999496744057871,15.190046425202667,0.9396678751588602,1.0347056230272131,0.9883245887692006,0.21311465917759342,33.31428642919833
