element,kev,R_prova1,sig_prova1,R_prova2,sig_prova2,R_ruotato,sig_ruotato,baseline_pct,tilt_shift_pct,significance_sigma,reliable
K,3.3138,0.7612583509986276,0.019181395699234313,0.7270887629986839,0.01827034992008109,0.893416634938216,0.029613321990570395,4.591615447578375,20.054875174747693,4.600526577119856,False
Ca,3.69,6.063578397075712,0.015242622400001357,6.00161341305075,0.01492889330998978,6.325922716473929,0.01931525915061734,1.0271694806037595,4.8623646607011475,13.293522873843244,True
Ti,4.51,2.5512211802009443,0.008294220868739523,2.5278058343691354,0.008461948608862768,2.6129904376834356,0.011607927395811733,0.922040609929339,2.8933467054856794,5.638016615937862,True
Fe,6.4,1.240325152598414,0.0032843635018867563,1.2346886520556148,0.0032064948174790973,1.2484399210359387,0.003827978131284864,0.45547225087797716,0.883471331623748,2.4495657705884737,True
Cu,8.04,1.0709805633708953,0.0031877016599803406,1.0836513245126127,0.003339022542303634,1.0369761455267812,0.004450048770910533,1.1761416149989183,-3.744472421653302,8.046974397793589,True
Zn,8.64,0.7258762341997727,0.0097161267056634,0.7380799246913288,0.009920871075670723,0.655005612629056,0.02577483127208871,1.667220758960434,-10.515679222907718,2.8835544140235587,False
PbLl,9.185,0.8618189840172613,0.003729126021096254,0.8575597538288072,0.0037358045123721856,0.8620250542184645,0.004959755509790233,0.4954382760123914,0.2716894473589071,0.4157311892854493,True
PbLa,10.54,0.7980921670353653,0.0009044417586373517,0.8009040074484596,0.000912106428984875,0.781293897247034,0.0011902916056520945,0.35170070547566273,-2.276952288613813,13.459563810679603,True
PbLb,12.61,0.7263835679359342,0.0007329384598811954,0.7276567314989135,0.0007201651007370196,0.7113112999686853,0.0009866666721269279,0.17512080833993407,-2.160717244885745,14.121375464164098,True
PbLg,14.77,0.654653234654303,0.0012751460774973577,0.6458017518529775,0.0012636879411406174,0.6338492290513145,0.0017070162200056131,1.361290147396574,-2.518851382363338,8.492156108915951,True
