kev,R,R_sigma,R_model,R_tilt
5.9000,1.325674,0.015000,1.270852,1.387711
5.9200,1.319231,0.014664,1.264722,1.380608
5.9400,1.312933,0.014326,1.258703,1.373662
5.9600,1.306776,0.013988,1.252792,1.366872
5.9800,1.300758,0.013651,1.246987,1.360233
6.0000,1.294877,0.013316,1.241285,1.353744
6.0200,1.289492,0.012988,1.236030,1.347778
6.0400,1.284227,0.012663,1.230863,1.341945
6.0600,1.279081,0.012344,1.225781,1.336241
6.0800,1.274052,0.012031,1.220782,1.330665
6.1000,1.269138,0.011725,1.215866,1.325215
6.1200,1.264337,0.011427,1.211030,1.319887
6.1400,1.259647,0.011140,1.206272,1.314681
6.1600,1.255066,0.010864,1.201590,1.309593
6.1800,1.250591,0.010601,1.196984,1.304622
6.2000,1.246221,0.010353,1.192450,1.299765
6.2200,1.241954,0.010119,1.187988,1.295020
6.2400,1.237788,0.009903,1.183597,1.290384
6.2600,1.233720,0.009704,1.179273,1.285856
6.2800,1.229748,0.009525,1.175017,1.281432
6.3000,1.225871,0.009366,1.170827,1.277112
6.3200,1.222087,0.009228,1.166700,1.272892
6.3400,1.218392,0.009112,1.162637,1.268770
6.3600,1.214786,0.009018,1.158635,1.264743
6.3800,1.211265,0.008946,1.154693,1.260811
6.4000,1.207829,0.008897,1.150810,1.256969
6.4200,1.204473,0.008870,1.146985,1.253216
6.4400,1.201198,0.008864,1.143216,1.249550
6.4600,1.197999,0.008879,1.139502,1.245967
6.4800,1.194875,0.008914,1.135843,1.242467
6.5000,1.191824,0.008967,1.132236,1.239045
6.5200,1.188844,0.009037,1.128681,1.235700
6.5400,1.185932,0.009123,1.125177,1.232430
6.5600,1.183086,0.009222,1.121723,1.229231
6.5800,1.180303,0.009334,1.118317,1.226102
6.6000,1.177582,0.009457,1.114959,1.223040
6.6200,1.174920,0.009589,1.111648,1.220042
6.6400,1.172314,0.009728,1.108382,1.217107
6.6600,1.169763,0.009873,1.105161,1.214231
6.6800,1.167264,0.010023,1.101983,1.211412
6.7000,1.164815,0.010176,1.098849,1.208648
6.7200,1.162414,0.010331,1.095756,1.205936
6.7400,1.160057,0.010486,1.092705,1.203273
6.7600,1.157744,0.010640,1.089694,1.200658
6.7800,1.155470,0.010793,1.086722,1.198088
6.8000,1.153235,0.010943,1.083789,1.195559
6.8200,1.151035,0.011090,1.080893,1.193071
6.8400,1.148869,0.011232,1.078035,1.190619
6.8600,1.146734,0.011369,1.075212,1.188202
6.8800,1.144627,0.011500,1.072426,1.185818
6.9000,1.142547,0.011624,1.069673,1.183464
6.9200,1.140491,0.011741,1.066955,1.181137
6.9400,1.138457,0.011851,1.064270,1.178835
6.9600,1.136442,0.011952,1.061618,1.176555
6.9800,1.134445,0.012045,1.058997,1.174296
7.0000,1.132462,0.012129,1.056408,1.172055
7.0200,1.130492,0.012204,1.053849,1.169829
7.0400,1.128533,0.012269,1.051320,1.167616
7.0600,1.126582,0.012325,1.048821,1.165414
7.0800,1.124637,0.012371,1.046349,1.163221
7.1000,1.122696,0.012407,1.043906,1.161035
7.1200,1.120758,0.012433,1.041491,1.158853
7.1400,1.118819,0.012449,1.039102,1.156672
7.1600,1.116878,0.012455,1.036739,1.154492
7.1800,1.114933,0.012451,1.034402,1.152310
7.2000,1.112983,0.012437,1.032090,1.150124
7.2200,1.111024,0.012413,1.029802,1.147932
7.2400,1.109056,0.012379,1.027539,1.145731
7.2600,1.107076,0.012336,1.025299,1.143521
7.2800,1.105082,0.012284,1.023082,1.141300
7.3000,1.103074,0.012222,1.020887,1.139064
7.3200,1.101050,0.012152,1.018715,1.136814
7.3400,1.099007,0.012073,1.016563,1.134547
7.3600,1.096944,0.011985,1.014433,1.132261
7.3800,1.094860,0.011890,1.012323,1.129956
7.4000,1.092753,0.011788,1.010234,1.127629
7.4200,1.090623,0.011678,1.008164,1.125279
7.4400,1.088467,0.011562,1.006113,1.122905
