kev,R,R_sigma,R_model,R_tilt
13.9800,0.645600,0.017470,0.642668,0.655616
14.0000,0.645142,0.017286,0.642073,0.655142
14.0200,0.644691,0.017088,0.641481,0.654675
14.0400,0.644245,0.016877,0.640891,0.654213
14.0600,0.643804,0.016652,0.640304,0.653757
14.0800,0.643369,0.016413,0.639719,0.653307
14.1000,0.642939,0.016162,0.639137,0.652861
14.1200,0.642514,0.015898,0.638558,0.652421
14.1400,0.642093,0.015620,0.637981,0.651986
14.1600,0.641677,0.015331,0.637406,0.651555
14.1800,0.641266,0.015029,0.636834,0.651128
14.2000,0.640858,0.014715,0.636265,0.650706
14.2200,0.640454,0.014390,0.635698,0.650287
14.2400,0.640054,0.014053,0.635134,0.649873
14.2600,0.639657,0.013705,0.634572,0.649462
14.2800,0.639263,0.013347,0.634012,0.649054
14.3000,0.638872,0.012978,0.633455,0.648649
14.3200,0.638485,0.012600,0.632901,0.648247
14.3400,0.638099,0.012212,0.632349,0.647848
14.3600,0.637717,0.011816,0.631799,0.647452
14.3800,0.637336,0.011411,0.631252,0.647058
14.4000,0.636958,0.011000,0.630707,0.646666
14.4200,0.636582,0.010581,0.630164,0.646276
14.4400,0.636207,0.010157,0.629624,0.645888
14.4600,0.635834,0.009729,0.629087,0.645501
14.4800,0.635462,0.009297,0.628551,0.645116
14.5000,0.635091,0.008863,0.628018,0.644732
14.5200,0.634722,0.008429,0.627487,0.644350
14.5400,0.634353,0.007996,0.626959,0.643968
14.5600,0.633985,0.007568,0.626433,0.643587
14.5800,0.633618,0.007147,0.625909,0.643207
14.6000,0.633251,0.006737,0.625388,0.642827
14.6200,0.632884,0.006343,0.624869,0.642447
14.6400,0.632518,0.005969,0.624352,0.642068
14.6600,0.632151,0.005622,0.623837,0.641689
14.6800,0.631785,0.005312,0.623325,0.641309
14.7000,0.631418,0.005046,0.622815,0.640930
14.7200,0.631050,0.004834,0.622307,0.640550
14.7400,0.630683,0.004688,0.621801,0.640169
14.7600,0.630314,0.004614,0.621298,0.639789
14.7800,0.629945,0.004620,0.620797,0.639407
14.8000,0.629575,0.004707,0.620298,0.639025
14.8200,0.629205,0.004872,0.619801,0.638641
14.8400,0.628833,0.005109,0.619306,0.638257
14.8600,0.628460,0.005411,0.618814,0.637872
14.8800,0.628086,0.005769,0.618324,0.637485
14.9000,0.627710,0.006173,0.617836,0.637097
14.9200,0.627333,0.006617,0.617350,0.636708
14.9400,0.626955,0.007093,0.616866,0.636317
14.9600,0.626575,0.007596,0.616384,0.635925
14.9800,0.626194,0.008121,0.615904,0.635532
15.0000,0.625811,0.008665,0.615427,0.635137
15.0200,0.625462,0.009224,0.614987,0.634776
15.0400,0.625112,0.009797,0.614548,0.634414
15.0600,0.624759,0.010380,0.614112,0.634049
15.0800,0.624404,0.010972,0.613677,0.633683
15.1000,0.624047,0.011571,0.613245,0.633314
15.1200,0.623688,0.012177,0.612814,0.632944
15.1400,0.623327,0.012788,0.612384,0.632571
15.1600,0.622964,0.013403,0.611957,0.632196
15.1800,0.622598,0.014021,0.611531,0.631819
15.2000,0.622231,0.014641,0.611108,0.631439
15.2200,0.621861,0.015263,0.610686,0.631058
15.2400,0.621488,0.015887,0.610265,0.630674
15.2600,0.621114,0.016511,0.609847,0.630288
15.2800,0.620737,0.017135,0.609430,0.629899
15.3000,0.620358,0.017758,0.609015,0.629509
15.3200,0.619977,0.018381,0.608602,0.629116
15.3400,0.619593,0.019002,0.608190,0.628721
15.3600,0.619208,0.019622,0.607780,0.628324
15.3800,0.618820,0.020239,0.607372,0.627924
15.4000,0.618430,0.020854,0.606966,0.627522
15.4200,0.618037,0.021467,0.606561,0.627118
15.4400,0.617643,0.022076,0.606158,0.626712
15.4600,0.617246,0.022682,0.605757,0.626304
15.4800,0.616848,0.023284,0.605357,0.625894
15.5000,0.616447,0.023882,0.604959,0.625482
15.5200,0.616044,0.024476,0.604563,0.625067
15.5400,0.615639,0.025065,0.604168,0.624651
15.5600,0.615232,0.025650,0.603775,0.624233
15.5800,0.614824,0.026230,0.603384,0.623812
15.6000,0.614413,0.026805,0.602994,0.623390
15.6200,0.614001,0.027375,0.602606,0.622967
15.6400,0.613587,0.027938,0.602220,0.622541
15.6600,0.613171,0.028497,0.601835,0.622114
15.6800,0.612753,0.029049,0.601451,0.621685
15.7000,0.612334,0.029595,0.601070,0.621254
15.7200,0.611914,0.030136,0.600690,0.620822
15.7400,0.611491,0.030669,0.600311,0.620388
15.7600,0.611068,0.031197,0.599934,0.619953
15.7800,0.610643,0.031717,0.599559,0.619517
15.8000,0.610216,0.032231,0.599185,0.619079
15.8200,0.609789,0.032738,0.598813,0.618640
15.8400,0.609360,0.033238,0.598442,0.618199
15.8600,0.608930,0.033731,0.598073,0.617758
15.8800,0.608499,0.034217,0.597705,0.617316
15.9000,0.608067,0.034695,0.597339,0.616872
15.9200,0.607634,0.035166,0.596974,0.616428
15.9400,0.607200,0.035630,0.596611,0.615983
15.9600,0.606765,0.036086,0.596250,0.615537
15.9800,0.606330,0.036535,0.595890,0.615090
16.0000,0.605893,0.036976,0.595531,0.614643
16.0200,0.605457,0.037410,0.595174,0.614195
16.0400,0.605019,0.037835,0.594818,0.613746
16.0600,0.604582,0.038254,0.594464,0.613297
16.0800,0.604143,0.038664,0.594111,0.612848
16.1000,0.603705,0.039067,0.593760,0.612398
16.1200,0.603266,0.039462,0.593410,0.611949
16.1400,0.602827,0.039849,0.593062,0.611499
16.1600,0.602388,0.040228,0.592715,0.611048
16.1800,0.601949,0.040600,0.592369,0.610598
16.2000,0.601510,0.040964,0.592025,0.610148
16.2200,0.601071,0.041320,0.591683,0.609698
16.2400,0.600632,0.041669,0.591341,0.609248
16.2600,0.600193,0.042009,0.591002,0.608799
16.2800,0.599755,0.042343,0.590663,0.608350
16.3000,0.599317,0.042668,0.590326,0.607901
16.3200,0.598879,0.042986,0.589990,0.607452
16.3400,0.598442,0.043297,0.589656,0.607004
16.3600,0.598006,0.043600,0.589323,0.606557
16.3800,0.597570,0.043895,0.588992,0.606110
16.4000,0.597134,0.044183,0.588661,0.605664
16.4200,0.596699,0.044464,0.588332,0.605219
16.4400,0.596266,0.044738,0.588005,0.604775
16.4600,0.595833,0.045004,0.587679,0.604331
16.4800,0.595400,0.045263,0.587354,0.603888
16.5000,0.594969,0.045516,0.587030,0.603447
16.5200,0.594539,0.045761,0.586708,0.603006
16.5400,0.594110,0.045999,0.586387,0.602567
16.5600,0.593682,0.046231,0.586068,0.602128
16.5800,0.593255,0.046456,0.585750,0.601691
16.6000,0.592829,0.046674,0.585433,0.601255
16.6200,0.592405,0.046886,0.585117,0.600821
16.6400,0.591982,0.047091,0.584803,0.600387
16.6600,0.591560,0.047290,0.584489,0.599956
16.6800,0.591140,0.047483,0.584178,0.599525
16.7000,0.590721,0.047670,0.583867,0.599096
16.7200,0.590303,0.047850,0.583558,0.598669
16.7400,0.589888,0.048025,0.583250,0.598243
16.7600,0.589473,0.048194,0.582943,0.597819
16.7800,0.589061,0.048357,0.582637,0.597397
16.8000,0.588650,0.048514,0.582333,0.596976
16.8200,0.588240,0.048666,0.582030,0.596557
16.8400,0.587833,0.048812,0.581728,0.596140
16.8600,0.587427,0.048953,0.581427,0.595724
16.8800,0.587023,0.049089,0.581128,0.595311
16.9000,0.586621,0.049220,0.580830,0.594899
16.9200,0.586220,0.049345,0.580533,0.594489
16.9400,0.585822,0.049466,0.580237,0.594081
16.9600,0.585425,0.049582,0.579942,0.593675
16.9800,0.585031,0.049693,0.579649,0.593271
17.0000,0.584638,0.049800,0.579356,0.592869
17.0200,0.584248,0.049902,0.579065,0.592469
17.0400,0.583859,0.050000,0.578775,0.592072
17.0600,0.583472,0.050094,0.578486,0.591676
17.0800,0.583088,0.050183,0.578199,0.591282
17.1000,0.582705,0.050268,0.577912,0.590891
17.1200,0.582325,0.050350,0.577627,0.590501
17.1400,0.581946,0.050427,0.577343,0.590114
17.1600,0.581570,0.050501,0.577060,0.589729
17.1800,0.581196,0.050571,0.576778,0.589346
17.2000,0.580824,0.050638,0.576497,0.588965
17.2200,0.580454,0.050701,0.576218,0.588587
17.2400,0.580087,0.050761,0.575939,0.588211
17.2600,0.579721,0.050818,0.575662,0.587837
17.2800,0.579358,0.050871,0.575385,0.587465
17.3000,0.578997,0.050922,0.575110,0.587095
17.3200,0.578638,0.050969,0.574836,0.586728
17.3400,0.578282,0.051014,0.574563,0.586363
17.3600,0.577927,0.051056,0.574291,0.586000
17.3800,0.577575,0.051095,0.574020,0.585640
17.4000,0.577225,0.051132,0.573750,0.585281
17.4200,0.576877,0.051166,0.573481,0.584925
17.4400,0.576532,0.051197,0.573214,0.584572
17.4600,0.576188,0.051226,0.572947,0.584220
17.4800,0.575847,0.051253,0.572682,0.583871
17.5000,0.575508,0.051278,0.572417,0.583524
17.5200,0.575172,0.051301,0.572154,0.583179
17.5400,0.574837,0.051322,0.571891,0.582837
17.5600,0.574505,0.051340,0.571630,0.582497
17.5800,0.574175,0.051357,0.571369,0.582159
17.6000,0.573847,0.051372,0.571110,0.581823
17.6200,0.573521,0.051386,0.570852,0.581490
17.6400,0.573198,0.051397,0.570594,0.581158
17.6600,0.572876,0.051407,0.570338,0.580829
17.6800,0.572557,0.051416,0.570083,0.580503
17.7000,0.572240,0.051423,0.569829,0.580178
17.7200,0.571925,0.051428,0.569575,0.579856
17.7400,0.571612,0.051432,0.569323,0.579535
17.7600,0.571302,0.051435,0.569072,0.579217
17.7800,0.570993,0.051437,0.568821,0.578901
17.8000,0.570687,0.051437,0.568572,0.578588
17.8200,0.570382,0.051437,0.568324,0.578276
17.8400,0.570080,0.051435,0.568076,0.577967
17.8600,0.569780,0.051432,0.567830,0.577659
17.8800,0.569481,0.051428,0.567584,0.577354
17.9000,0.569185,0.051424,0.567340,0.577051
17.9200,0.568891,0.051418,0.567096,0.576749
17.9400,0.568599,0.051411,0.566853,0.576450
17.9600,0.568309,0.051404,0.566612,0.576153
17.9800,0.568021,0.051396,0.566371,0.575858
18.0000,0.567735,0.051387,0.566131,0.575565
18.0200,0.567450,0.051378,0.565892,0.575274
18.0400,0.567168,0.051368,0.565654,0.574985
18.0600,0.566887,0.051357,0.565417,0.574698
18.0800,0.566609,0.051346,0.565181,0.574413
18.1000,0.566332,0.051334,0.564946,0.574129
18.1200,0.566057,0.051321,0.564712,0.573848
18.1400,0.565785,0.051308,0.564478,0.573568
18.1600,0.565513,0.051295,0.564246,0.573291
18.1800,0.565244,0.051281,0.564014,0.573015
18.2000,0.564977,0.051267,0.563783,0.572741
18.2200,0.564711,0.051252,0.563553,0.572469
18.2400,0.564447,0.051237,0.563324,0.572198
18.2600,0.564184,0.051222,0.563096,0.571930
18.2800,0.563924,0.051206,0.562869,0.571663
18.3000,0.563665,0.051190,0.562643,0.571398
18.3200,0.563408,0.051174,0.562417,0.571134
18.3400,0.563152,0.051158,0.562193,0.570873
18.3600,0.562899,0.051141,0.561969,0.570613
18.3800,0.562646,0.051124,0.561746,0.570354
18.4000,0.562396,0.051107,0.561524,0.570098
18.4200,0.562147,0.051089,0.561303,0.569843
18.4400,0.561899,0.051072,0.561082,0.569589
18.4600,0.561653,0.051054,0.560863,0.569337
18.4800,0.561409,0.051037,0.560644,0.569087
18.5000,0.561166,0.051019,0.560426,0.568838
18.5200,0.560925,0.051001,0.560209,0.568591
18.5400,0.560685,0.050983,0.559993,0.568346
18.5600,0.560447,0.050964,0.559778,0.568101
18.5800,0.560210,0.050946,0.559563,0.567859
18.6000,0.559975,0.050928,0.559349,0.567618
18.6200,0.559741,0.050909,0.559136,0.567378
18.6400,0.559508,0.050891,0.558924,0.567140
18.6600,0.559277,0.050873,0.558713,0.566903
18.6800,0.559047,0.050854,0.558502,0.566667
18.7000,0.558819,0.050835,0.558292,0.566433
18.7200,0.558591,0.050817,0.558083,0.566201
18.7400,0.558366,0.050798,0.557875,0.565969
18.7600,0.558141,0.050780,0.557668,0.565739
18.7800,0.557918,0.050761,0.557461,0.565511
18.8000,0.557696,0.050743,0.557255,0.565283
18.8200,0.557475,0.050724,0.557050,0.565057
18.8400,0.557256,0.050705,0.556846,0.564832
18.8600,0.557038,0.050687,0.556642,0.564609
18.8800,0.556821,0.050668,0.556440,0.564386
18.9000,0.556605,0.050650,0.556237,0.564165
18.9200,0.556390,0.050631,0.556036,0.563946
18.9400,0.556177,0.050613,0.555836,0.563727
18.9600,0.555964,0.050595,0.555636,0.563509
18.9800,0.555753,0.050576,0.555437,0.563293
19.0000,0.555543,0.050558,0.555239,0.563078
19.0200,0.555334,0.050540,0.555041,0.562864
19.0400,0.555127,0.050521,0.554844,0.562651
19.0600,0.554920,0.050503,0.554648,0.562439
19.0800,0.554714,0.050485,0.554453,0.562229
19.1000,0.554510,0.050467,0.554258,0.562019
19.1200,0.554306,0.050449,0.554064,0.561810
19.1400,0.554104,0.050431,0.553871,0.561603
19.1600,0.553902,0.050413,0.553678,0.561397
19.1800,0.553702,0.050395,0.553486,0.561191
19.2000,0.553502,0.050378,0.553295,0.560987
19.2200,0.553304,0.050360,0.553105,0.560784
19.2400,0.553106,0.050342,0.552915,0.560581
19.2600,0.552910,0.050325,0.552726,0.560380
19.2800,0.552714,0.050307,0.552538,0.560180
19.3000,0.552520,0.050290,0.552350,0.559980
19.3200,0.552326,0.050273,0.552163,0.559782
19.3400,0.552133,0.050255,0.551977,0.559584
19.3600,0.551942,0.050238,0.551792,0.559388
19.3800,0.551751,0.050221,0.551607,0.559192
19.4000,0.551561,0.050204,0.551423,0.558998
19.4200,0.551372,0.050187,0.551239,0.558804
19.4400,0.551183,0.050170,0.551056,0.558611
19.4600,0.550996,0.050153,0.550874,0.558419
19.4800,0.550809,0.050136,0.550692,0.558228
19.5000,0.550624,0.050119,0.550512,0.558038
19.5200,0.550439,0.050102,0.550331,0.557848
19.5400,0.550255,0.050086,0.550152,0.557660
19.5600,0.550072,0.050069,0.549973,0.557472
19.5800,0.549889,0.050053,0.549795,0.557285
19.6000,0.549708,0.050036,0.549617,0.557099
19.6200,0.549527,0.050020,0.549440,0.556914
19.6400,0.549347,0.050003,0.549264,0.556729
19.6600,0.549167,0.049987,0.549088,0.556546
19.6800,0.548989,0.049971,0.548913,0.556363
19.7000,0.548811,0.049955,0.548738,0.556181
19.7200,0.548634,0.049939,0.548565,0.555999
19.7400,0.548458,0.049923,0.548391,0.555819
19.7600,0.548283,0.049907,0.548219,0.555639
19.7800,0.548108,0.049891,0.548047,0.555460
19.8000,0.547934,0.049875,0.547876,0.555282
19.8200,0.547761,0.049860,0.547705,0.555104
19.8400,0.547588,0.049844,0.547535,0.554928
19.8600,0.547416,0.049828,0.547365,0.554752
19.8800,0.547245,0.049813,0.547196,0.554576
19.9000,0.547075,0.049797,0.547028,0.554402
19.9200,0.546905,0.049782,0.546861,0.554228
19.9400,0.546736,0.049766,0.546693,0.554054
19.9600,0.546567,0.049751,0.546527,0.553882
19.9800,0.546400,0.049736,0.546361,0.553710
20.0000,0.546233,0.049721,0.546196,0.553539
